"Timestamp (UTC)","Len Sassaman","Hal Finney","Adam Back","Nick Szabo","Paul Le Roux","David Kleiman","Craig Wright ","Dorian Nakamoto","Wei Dai","Gavin Andresen"," Elon Musk","Jed McCaleb","Shinichi Mochizuki","Gavin Wood","Vili Lehdonvirta","Other/Multiple "
"2024-10-04T04:00:03.000Z",0.41,0.255,0.056,0.035,0.015,0.006,0.006,0.0055,0.006,0.0055,0.006,0.006,0.006,0.006,0.006,0.28
"2024-10-04T04:01:02.000Z",0.41,0.255,0.056,0.035,0.015,0.006,0.006,0.0055,0.006,0.0055,0.006,0.006,0.006,0.006,0.006,0.28
"2024-10-04T04:02:02.000Z",0.41,0.255,0.056,0.035,0.015,0.006,0.006,0.0055,0.006,0.0055,0.006,0.006,0.006,0.006,0.006,0.28
"2024-10-04T04:03:02.000Z",0.41,0.255,0.056,0.035,0.015,0.006,0.006,0.0055,0.006,0.0055,0.006,0.006,0.006,0.006,0.006,0.28
"2024-10-04T04:04:02.000Z",0.41,0.255,0.056,0.035,0.015,0.006,0.006,0.0055,0.006,0.0055,0.006,0.006,0.006,0.006,0.006,0.28
"2024-10-04T04:05:02.000Z",0.41,0.255,0.056,0.0345,0.015,0.006,0.006,0.0055,0.006,0.0055,0.006,0.006,0.006,0.006,0.006,0.28
"2024-10-04T04:06:02.000Z",0.41,0.255,0.056,0.0295,0.015,0.006,0.006,0.0055,0.006,0.0055,0.006,0.006,0.006,0.006,0.006,0.28
"2024-10-04T04:07:02.000Z",0.415,0.255,0.056,0.0305,0.015,0.006,0.006,0.0055,0.006,0.0055,0.006,0.006,0.006,0.006,0.006,0.28
"2024-10-04T04:08:02.000Z",0.415,0.255,0.056,0.0295,0.015,0.006,0.006,0.0055,0.006,0.0055,0.006,0.006,0.006,0.006,0.006,0.28
"2024-10-04T04:09:02.000Z",0.415,0.255,0.056,0.0245,0.015,0.006,0.006,0.0055,0.006,0.0055,0.006,0.006,0.006,0.006,0.006,0.28
"2024-10-04T04:10:02.000Z",0.415,0.255,0.056,0.0245,0.015,0.006,0.006,0.0055,0.006,0.0055,0.006,0.006,0.006,0.006,0.006,0.28
"2024-10-04T04:11:02.000Z",0.415,0.255,0.056,0.0245,0.015,0.006,0.006,0.0055,0.006,0.0055,0.006,0.006,0.006,0.006,0.006,0.28
"2024-10-04T04:12:02.000Z",0.415,0.255,0.056,0.0245,0.015,0.006,0.006,0.0055,0.006,0.0055,0.006,0.006,0.006,0.006,0.006,0.28
"2024-10-04T04:13:02.000Z",0.415,0.255,0.056,0.0245,0.015,0.006,0.006,0.0055,0.006,0.0055,0.006,0.006,0.006,0.006,0.006,0.28
"2024-10-04T04:14:02.000Z",0.415,0.255,0.056,0.0245,0.015,0.006,0.006,0.0055,0.006,0.0055,0.006,0.006,0.006,0.006,0.006,0.27
"2024-10-04T04:15:02.000Z",0.42,0.255,0.056,0.0245,0.015,0.006,0.006,0.005,0.0055,0.0055,0.006,0.006,0.006,0.006,0.006,0.27
"2024-10-04T04:16:02.000Z",0.42,0.255,0.056,0.0195,0.015,0.006,0.0055,0.005,0.0055,0.0055,0.006,0.006,0.006,0.006,0.006,0.27
"2024-10-04T04:17:02.000Z",0.42,0.255,0.056,0.0195,0.015,0.006,0.0055,0.005,0.0055,0.0055,0.006,0.006,0.006,0.006,0.006,0.27
