"Date (UTC)","Timestamp (UTC)","Nicolas Maduro","Antonio Ecarri","Javier Bertucci","Other","Edmundo González"
"06-02-2024 00:00","1717286403","0.905","0.01","0.01","0.017","0.09"
"06-03-2024 00:00","1717372803","0.83","0.009","0.0085","0.019","0.145"
"06-04-2024 00:00","1717459202","0.815","0.009","0.0085","0.019","0.175"
"06-05-2024 00:00","1717545602","0.815","0.0065","0.0065","0.0195","0.185"
"06-06-2024 00:00","1717632003","0.815","0.0065","0.0065","0.0185","0.18"
"06-07-2024 00:00","1717718402","0.815","0.0055","0.0055","0.0175","0.175"
"06-08-2024 00:00","1717804802","0.815","0.002","0.0025","0.0175","0.175"
"06-09-2024 00:00","1717891203","0.805","0.0015","0.0015","0.0495","0.175"
"06-10-2024 00:00","1717977604","0.815","0.0015","0.0015","0.045","0.165"
"06-11-2024 00:00","1718064002","0.805","0.0015","0.0015","0.0405","0.175"
"06-12-2024 00:00","1718150403","0.805","0.0015","0.0015","0.0405","0.175"
"06-13-2024 00:00","1718236803","0.805","0.0015","0.0015","0.0405","0.17"
"06-14-2024 00:00","1718323203","0.805","0.0015","0.0015","0.0405","0.175"
"06-15-2024 00:00","1718409604","0.805","0.0015","0.0015","0.0375","0.175"
"06-16-2024 00:00","1718496004","0.805","0.0015","0.002","0.0375","0.175"
"06-17-2024 00:00","1718582404","0.805","0.0015","0.002","0.0375","0.175"
"06-18-2024 00:00","1718668803","0.795","0.0015","0.002","0.0345","0.175"
"06-19-2024 00:00","1718755203","0.795","0.0015","0.002","0.0345","0.175"
"06-20-2024 00:00","1718841604","0.795","0.0015","0.002","0.0345","0.175"
"06-21-2024 00:00","1718928003","0.63","0.0015","0.002","0.0335","0.345"
"06-22-2024 00:00","1719014402","0.495","0.0015","0.002","0.025","0.34"
"06-23-2024 00:00","1719100803","0.695","0.0015","0.002","0.025","0.29"
"06-24-2024 00:00","1719187203","0.75","0.0015","0.002","0.0245","0.235"
"06-25-2024 00:00","1719273603","0.745","0.0015","0.002","0.0245","0.24"
"06-26-2024 00:00","1719360003","0.655","0.0015","0.002","0.0245","0.355"
"06-27-2024 00:00","1719446402","0.67","0.0015","0.002","0.0245","0.27"
"06-28-2024 00:00","1719532803","0.7","0.0015","0.002","0.0245","0.275"
"06-29-2024 00:00","1719619202","0.685","0.0015","0.002","0.024","0.325"
"06-30-2024 00:00","1719705602","0.655","0.0015","0.002","0.0245","0.335"
"07-01-2024 00:00","1719792002","0.71","0.002","0.002","0.0245","0.275"
"07-02-2024 00:00","1719878403","0.715","0.002","0.002","0.0255","0.275"
"07-03-2024 00:00","1719964802","0.675","0.002","0.002","0.0255","0.265"
"07-04-2024 00:00","1720051203","0.685","0.002","0.002","0.0255","0.275"
"07-05-2024 00:00","1720137602","0.695","0.002","0.002","0.0255","0.275"
"07-06-2024 00:00","1720224002","0.69","0.002","0.002","0.0255","0.275"
"07-07-2024 00:00","1720310402","0.69","0.0025","0.002","0.0255","0.275"
"07-08-2024 00:00","1720396802","0.795","0.0025","0.002","0.024","0.22"
"07-09-2024 00:00","1720483202","0.785","0.005","0.002","0.024","0.2"
"07-10-2024 00:00","1720569603","0.785","0.005","0.002","0.0225","0.225"
"07-11-2024 00:00","1720656003","0.785","0.005","0.002","0.021","0.21"
"07-12-2024 00:00","1720742402","0.795","0.005","0.002","0.0205","0.205"
"07-13-2024 00:00","1720828803","0.795","0.0045","0.002","0.0195","0.205"
"07-14-2024 00:00","1720915202","0.805","0.005","0.0025","0.0195","0.185"
"07-15-2024 00:00","1721001603","0.795","0.005","0.0025","0.0195","0.185"
"07-16-2024 00:00","1721088002","0.81","0.005","0.0025","0.0195","0.185"
"07-17-2024 00:00","1721174401","0.795","0.0045","0.0025","0.018","0.245"
"07-18-2024 00:00","1721260802","0.75","0.004","0.0015","0.0085","0.245"
"07-19-2024 00:00","1721347201","0.775","0.004","0.0015","0.0075","0.215"
"07-20-2024 00:00","1721433601","0.785","0.003","0.002","0.007","0.225"
"07-21-2024 00:00","1721520001","0.8","0.003","0.002","0.007","0.205"
"07-22-2024 00:00","1721606401","0.8","0.003","0.002","0.0065","0.21"
"07-23-2024 00:00","1721692801","0.83","0.003","0.002","0.0065","0.19"
"07-24-2024 00:00","1721779201","0.82","0.002","0.0005","0.005","0.195"
"07-25-2024 00:00","1721865601","0.695","0.001","0.0005","0.005","0.325"
"07-26-2024 00:00","1721952002","0.765","0.0005","0.0005","0.003","0.245"
"07-27-2024 00:00","1722038402","0.825","0.0005","0.0005","0.0035","0.18"
"07-28-2024 00:00","1722124802","0.845","0.0005","0.0005","0.0005","0.18"
"07-29-2024 00:00","1722211202","0.565","0.0015","0.0015","0.004","0.435"
"07-30-2024 00:00","1722297601","0.8445","0.0005","0.0005","0.0175","0.1435"
"07-31-2024 00:00","1722384002","0.8715","0.0005","0.001","0.014","0.1185"
"08-01-2024 00:00","1722470402","0.873","0.0005","0.0005","0.0225","0.0955"
"08-02-2024 00:00","1722556801","0.8145","0.0015","0.0015","0.0285","0.1375"
"08-03-2024 00:00","1722643202","0.7425","0.0005","0.0005","0.0255","0.222"
"08-04-2024 00:00","1722729601","0.6945","0.0015","0.0005","0.0245","0.2845"
"08-05-2024 00:00","1722816001","0.6655","0.0005","0.0005","0.0285","0.317"
"08-06-2024 00:00","1722902401","0.5495","0.0005","0.0005","0.0185","0.434"
